amount,bin,status,fraud,BankFrequency,AmountCategory,AmountMark
amount below 1000,493161,antifraud_declined,1,203,2.0,750.0
amount below 1000,557909,paid,0,139,2.0,750.0
amount below 1500,370781,paid,0,10,3.0,1250.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 3000,520416,paid,0,461,6.0,2750.0
amount below 1500,432374,antifraud_declined,1,1,3.0,1250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 1000,547092,paid,0,10,2.0,750.0
amount below 2000,493173,paid,0,163,4.0,1750.0
amount below 1500,477214,paid,0,196,3.0,1250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 3500,477213,paid,0,370,7.0,3250.0
amount below 2000,523253,paid,0,2,4.0,1750.0
amount below 3000,376716,paid,0,1,6.0,2750.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1000,477211,paid,0,4,2.0,750.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 1500,426807,paid,0,86,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1500,557907,antifraud_declined,1,269,3.0,1250.0
amount below 500,465828,paid,0,62,1.0,250.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 500,404360,paid,0,51,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1500,549138,paid,0,399,3.0,1250.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 1000,535875,paid,0,46,2.0,750.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 1500,493161,antifraud_declined,1,203,3.0,1250.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 2500,549138,paid,0,399,5.0,2250.0
amount below 500,547096,paid,0,54,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,455500,charged_back,1,33,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,370784,paid,0,21,2.0,750.0
amount below 500,530056,paid,0,99,1.0,250.0
amount below 500,455540,paid,0,26,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 3000,463186,antifraud_declined,1,30,6.0,2750.0
amount below 3000,491283,paid,0,183,6.0,2750.0
amount below 2000,463186,paid,0,30,4.0,1750.0
amount below 500,436401,antifraud_declined,1,20,1.0,250.0
amount below 1500,477291,paid,0,531,3.0,1250.0
amount below 1000,419691,paid,0,6,2.0,750.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 1000,549949,paid,0,91,2.0,750.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 500,426807,paid,0,86,1.0,250.0
amount below 1500,493172,antifraud_declined,1,135,3.0,1250.0
amount below 500,370784,paid,0,21,1.0,250.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 1000,408245,paid,0,32,2.0,750.0
amount below 1000,477213,paid,0,370,2.0,750.0
amount below 2500,473701,paid,0,68,5.0,2250.0
amount below 1000,446351,paid,0,20,2.0,750.0
amount below 500,549949,paid,0,91,1.0,250.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 500,425981,paid,0,77,1.0,250.0
amount below 1500,376670,paid,0,8,3.0,1250.0
amount below 1000,544204,antifraud_declined,1,63,2.0,750.0
amount below 1500,426807,paid,0,86,3.0,1250.0
amount below 4000,493173,refunded,1,163,8.0,3750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 2500,415231,paid,0,1060,5.0,2250.0
amount below 1000,436401,paid,0,20,2.0,750.0
amount below 1500,405306,antifraud_declined,1,57,3.0,1250.0
amount below 2500,415231,paid,0,1060,5.0,2250.0
amount below 1500,370783,paid,0,11,3.0,1250.0
amount below 1500,477291,paid,0,531,3.0,1250.0
amount below 4000,549138,paid,0,399,8.0,3750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,491283,antifraud_declined,1,183,2.0,750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 1500,376706,antifraud_declined,1,12,3.0,1250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 2000,529001,paid,0,42,4.0,1750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 3000,520416,antifraud_declined,1,461,6.0,2750.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,520021,paid,0,38,2.0,750.0
amount below 1000,525678,refunded,1,496,2.0,750.0
amount below 500,370784,paid,0,21,1.0,250.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 500,477291,antifraud_declined,1,531,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,491284,paid,0,156,1.0,250.0
amount below 1500,554629,paid,0,76,3.0,1250.0
amount below 1000,529091,paid,0,63,2.0,750.0
amount below 1000,477214,paid,0,196,2.0,750.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,477214,antifraud_declined,1,196,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,402766,paid,0,41,1.0,250.0
amount below 2000,522130,paid,0,17,4.0,1750.0
amount below 1500,557907,paid,0,269,3.0,1250.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 1500,529091,paid,0,63,3.0,1250.0
amount below 1500,517712,paid,0,99,3.0,1250.0
amount below 500,517712,paid,0,99,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 1000,530056,paid,0,99,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 1500,547046,paid,0,207,3.0,1250.0
amount below 1000,493172,paid,0,135,2.0,750.0
amount below 500,520698,paid,0,14,1.0,250.0
amount below 2500,520416,paid,0,461,5.0,2250.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 1000,493172,paid,0,135,2.0,750.0
amount below 500,425981,refunded,1,77,1.0,250.0
amount below 500,544204,paid,0,63,1.0,250.0
amount below 500,425981,refunded,1,77,1.0,250.0
amount below 1000,493172,paid,0,135,2.0,750.0
amount below 1000,376663,paid,0,10,2.0,750.0
amount below 1000,529001,paid,0,42,2.0,750.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 1000,491284,paid,0,156,2.0,750.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 1000,491284,paid,0,156,2.0,750.0
amount below 500,545375,paid,0,53,1.0,250.0
amount below 2500,554629,paid,0,76,5.0,2250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 500,545375,paid,0,53,1.0,250.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,557909,paid,0,139,2.0,750.0
amount below 2000,405306,paid,0,57,4.0,1750.0
amount below 1500,549138,paid,0,399,3.0,1250.0
amount below 2000,376689,paid,0,93,4.0,1750.0
amount below 1000,463186,paid,0,30,2.0,750.0
amount below 1500,545285,paid,0,2,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 2000,405306,refunded,1,57,4.0,1750.0
amount below 500,517712,paid,0,99,1.0,250.0
amount below 500,455545,paid,0,45,1.0,250.0
amount below 4000,557910,paid,0,418,8.0,3750.0
amount below 1000,416502,paid,0,28,2.0,750.0
amount below 1000,554629,antifraud_declined,1,76,2.0,750.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 500,554629,charged_back,1,76,1.0,250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,557907,refunded,1,269,1.0,250.0
amount below 1000,454057,paid,0,54,2.0,750.0
amount below 500,549639,paid,0,6,1.0,250.0
amount below 1500,547096,paid,0,54,3.0,1250.0
amount below 1500,477291,antifraud_declined,1,531,3.0,1250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,557909,paid,0,139,2.0,750.0
amount below 500,455540,paid,0,26,1.0,250.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 500,530756,paid,0,12,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 1500,477213,paid,0,370,3.0,1250.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 2000,455513,paid,0,63,4.0,1750.0
amount below 1500,473701,paid,0,68,3.0,1250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 1500,520416,paid,0,461,3.0,1250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,425981,paid,0,77,1.0,250.0
amount below 500,547380,paid,0,34,1.0,250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 1000,491089,antifraud_declined,1,197,2.0,750.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 1500,477213,paid,0,370,3.0,1250.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 1000,416916,paid,0,73,2.0,750.0
amount below 1000,491089,paid,0,197,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,370784,paid,0,21,2.0,750.0
amount below 1500,535875,paid,0,46,3.0,1250.0
amount below 1500,477213,paid,0,370,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,477213,paid,0,370,2.0,750.0
amount below 500,438857,paid,0,1,1.0,250.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,376689,paid,0,93,1.0,250.0
amount below 2000,544548,paid,0,31,4.0,1750.0
amount below 500,407458,paid,0,6,1.0,250.0
amount below 1000,548234,refunded,1,227,2.0,750.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 1000,477291,antifraud_declined,1,531,2.0,750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,557909,paid,0,139,2.0,750.0
amount below 500,491089,refunded,1,197,1.0,250.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 2500,540477,paid,0,1,5.0,2250.0
amount below 1500,493158,paid,0,54,3.0,1250.0
amount below 1000,552490,paid,0,1,2.0,750.0
amount below 500,441545,paid,0,7,1.0,250.0
amount below 500,549138,refunded,1,399,1.0,250.0
amount below 500,549138,refunded,1,399,1.0,250.0
amount below 1000,529091,paid,0,63,2.0,750.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 500,494388,paid,0,9,1.0,250.0
amount below 500,376694,paid,0,3,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 500,426513,paid,0,4,1.0,250.0
amount below 1000,455540,paid,0,26,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 1000,425981,paid,0,77,2.0,750.0
amount below 1000,518853,paid,0,46,2.0,750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,557910,antifraud_declined,1,418,2.0,750.0
amount below 1000,491089,paid,0,197,2.0,750.0
amount below 500,512745,paid,0,21,1.0,250.0
amount below 500,512745,paid,0,21,1.0,250.0
amount below 500,512745,paid,0,21,1.0,250.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 3000,416502,paid,0,28,6.0,2750.0
amount below 1500,547146,paid,0,94,3.0,1250.0
amount below 1000,547046,paid,0,207,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 2500,370783,paid,0,11,5.0,2250.0
amount below 1000,548234,paid,0,227,2.0,750.0
amount below 500,465828,paid,0,62,1.0,250.0
amount below 1000,454190,paid,0,1,2.0,750.0
amount below 500,465828,paid,0,62,1.0,250.0
amount below 500,405930,paid,0,51,1.0,250.0
amount below 2000,477291,paid,0,531,4.0,1750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,455540,paid,0,26,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 3000,477291,paid,0,531,6.0,2750.0
amount below 500,554629,paid,0,76,1.0,250.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 1000,530056,paid,0,99,2.0,750.0
amount below 500,412781,paid,0,1,1.0,250.0
amount below 500,491284,paid,0,156,1.0,250.0
amount below 1000,408245,paid,0,32,2.0,750.0
amount below 500,491284,paid,0,156,1.0,250.0
amount below 500,544548,paid,0,31,1.0,250.0
amount below 1500,536414,paid,0,3,3.0,1250.0
amount below 1000,454057,paid,0,54,2.0,750.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 500,531444,paid,0,48,1.0,250.0
amount below 1000,421316,paid,0,212,2.0,750.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,535875,antifraud_declined,1,46,1.0,250.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 4000,549138,paid,0,399,8.0,3750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 1000,455511,charged_back,1,64,2.0,750.0
amount below 1000,537830,paid,0,27,2.0,750.0
amount below 1000,455545,paid,0,45,2.0,750.0
amount below 500,455511,charged_back,1,64,1.0,250.0
amount below 2500,413406,paid,0,45,5.0,2250.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 1000,376418,paid,0,1,2.0,750.0
amount below 2500,376689,paid,0,93,5.0,2250.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 1000,529091,paid,0,63,2.0,750.0
amount below 500,549949,paid,0,91,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 500,491341,paid,0,19,1.0,250.0
amount below 1000,455198,paid,0,1,2.0,750.0
amount below 1500,402318,paid,0,12,3.0,1250.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1000,455513,paid,0,63,2.0,750.0
amount below 1000,455255,paid,0,194,2.0,750.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1000,544204,antifraud_declined,1,63,2.0,750.0
amount below 6000,370784,paid,0,21,12.0,5750.0
amount below 1000,528851,paid,0,92,2.0,750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,548234,antifraud_declined,1,227,1.0,250.0
amount below 1000,547046,paid,0,207,2.0,750.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 1000,518899,paid,0,65,2.0,750.0
amount below 2000,520416,paid,0,461,4.0,1750.0
amount below 500,455511,paid,0,64,1.0,250.0
amount below 1500,493161,paid,0,203,3.0,1250.0
amount below 500,436618,paid,0,2,1.0,250.0
amount below 500,376672,paid,0,4,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,376662,paid,0,6,2.0,750.0
amount below 1500,477291,paid,0,531,3.0,1250.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 2000,491089,paid,0,197,4.0,1750.0
amount below 500,439185,paid,0,7,1.0,250.0
amount below 1500,520416,paid,0,461,3.0,1250.0
amount below 500,491284,paid,0,156,1.0,250.0
amount below 1000,557909,paid,0,139,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 1000,548234,paid,0,227,2.0,750.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 500,528851,paid,0,92,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1500,549639,antifraud_declined,1,6,3.0,1250.0
amount below 1500,477213,paid,0,370,3.0,1250.0
amount below 2000,455255,paid,0,194,4.0,1750.0
amount below 1000,557907,refunded,1,269,2.0,750.0
amount below 1000,416502,antifraud_declined,1,28,2.0,750.0
amount below 1000,405930,paid,0,51,2.0,750.0
amount below 3000,483030,paid,0,10,6.0,2750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 1000,541290,paid,0,12,2.0,750.0
amount below 1500,455500,paid,0,33,3.0,1250.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 500,544548,paid,0,31,1.0,250.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 500,549949,paid,0,91,1.0,250.0
amount below 2000,415231,paid,0,1060,4.0,1750.0
amount below 1500,465828,antifraud_declined,1,62,3.0,1250.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1500,493161,antifraud_declined,1,203,3.0,1250.0
amount below 1000,477214,paid,0,196,2.0,750.0
amount below 500,531444,paid,0,48,1.0,250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 1000,545375,paid,0,53,2.0,750.0
amount below 5000,548234,antifraud_declined,1,227,10.0,4750.0
amount below 500,491284,antifraud_declined,1,156,1.0,250.0
amount below 2500,493161,paid,0,203,5.0,2250.0
amount below 1500,455500,antifraud_declined,1,33,3.0,1250.0
amount below 1500,455545,paid,0,45,3.0,1250.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,410180,paid,0,26,2.0,750.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 500,493162,paid,0,33,1.0,250.0
amount below 500,477210,paid,0,29,1.0,250.0
amount below 1000,493172,paid,0,135,2.0,750.0
amount below 500,441545,paid,0,7,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 500,557907,antifraud_declined,1,269,1.0,250.0
amount below 1000,477214,paid,0,196,2.0,750.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 2000,493172,paid,0,135,4.0,1750.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 5000,548234,refunded,1,227,10.0,4750.0
amount below 1500,493172,antifraud_declined,1,135,3.0,1250.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1000,426354,antifraud_declined,1,4,2.0,750.0
amount below 1000,548234,paid,0,227,2.0,750.0
amount below 1000,530756,paid,0,12,2.0,750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 2500,520416,antifraud_declined,1,461,5.0,2250.0
